anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
beleza_saude,cama_mesa_banho,11,8648,9271,0.00011563367252543941,0.0012719703977798335,0.001186495523675979,0.013051450760435767
informatica_acessorios,papelaria,2,6529,2264,2.102430409553444e-05,0.00030632562413845916,0.0008833922261484099,0.012871088327315965
consoles_games,esporte_lazer,1,1018,7528,1.051215204776722e-05,0.0009823182711198428,0.00013283740701381508,0.012413120682131828
esporte_lazer,perfumaria,3,7528,3088,3.1536456143301656e-05,0.00039851222104144525,0.0009715025906735751,0.012276447721253435
eletronicos,moveis_decoracao,2,2517,6303,2.102430409553444e-05,0.0007945967421533572,0.00031730921783277807,0.01199244786412257
cama_mesa_banho,ferramentas_jardim,4,9271,3447,4.204860819106888e-05,0.00043145291770035595,0.0011604293588627793,0.011906948986074691
informatica_acessorios,moveis_escritorio,1,6529,1254,1.051215204776722e-05,0.00015316281206922958,0.0007974481658692185,0.01161887718223419
esporte_lazer,relogios_presentes,5,7528,5493,5.2560760238836095e-05,0.0006641870350690755,0.0009102494083378846,0.011502418400154927
esporte_lazer,ferramentas_jardim,3,7528,3447,3.1536456143301656e-05,0.00039851222104144525,0.0008703220191470844,0.010997873676597216
eletronicos,ferramentas_jardim,1,2517,3447,1.051215204776722e-05,0.0003972983710766786,0.0002901073397156948,0.01096437465732007
informatica_acessorios,utilidades_domesticas,4,6529,5743,4.204860819106888e-05,0.0006126512482769183,0.0006965000870625109,0.010148056407119396
ferramentas_jardim,relogios_presentes,2,3447,5493,2.102430409553444e-05,0.0005802146794313896,0.0003640997633351538,0.010048181690323909
automotivo,esporte_lazer,3,3809,7528,3.1536456143301656e-05,0.0007876082961407193,0.00039851222104144525,0.009952657013187347
automotivo,eletronicos,1,3809,2517,1.051215204776722e-05,0.00026253609871357313,0.0003972983710766786,0.009922341675973294
moveis_decoracao,perfumaria,2,6303,3088,2.102430409553444e-05,0.00031730921783277807,0.0006476683937823834,0.00977493240738229
